id,comment,comment_id,action,selection_id,page_id,document_id,user_id,emoticons,created_at,updated_at
26,Emotion as part of the affect category! Great,23,creation,26,98,12,5,"s:4:\[20]\;"""""":4""",5/18/17 15:00,5/18/17 15:00
27,Difficile de comprendre,24,creation,27,99,12,5,"s:4:\[15]\;"""""":4""",5/18/17 15:01,5/18/17 15:01
101,La plus belle,94,creation,111,43,7,9,"s:4:\[20]\;"""""":4""",5/18/17 15:20,5/18/17 15:20
103,NULL,96,creation,88,65,9,9,"s:4:\[21]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
106,faut faire un SWOT rÌÎå©cap,99,creation,112,65,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
108,Oui ! Et le choix du fond est vraiment moche...,101,creation,95,52,8,9,"s:4:\[17]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
110,ceux qui travaillent jamais !,103,creation,118,43,7,9,"s:4:\[16]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
112,boulet du groupe,105,creation,117,43,7,9,"s:4:\[17]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
113,BG du 01,106,creation,119,43,7,9,"s:4:\[19]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
115,Bienvenue dans notre groupe Madeline !,108,creation,73,54,8,9,"s:4:\[19]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
116,NULL,109,creation,68,54,8,9,"s:4:\[20]\;"""""":4""",5/18/17 15:21,5/18/17 15:21
118,NULL,111,creation,68,54,8,9,"s:4:\[20]\;"""""":4""",5/18/17 15:22,5/18/17 15:22
123,"c'est pas des plantes, c'est des espaces",115,creation,128,46,7,9,"s:4:\[18]\;"""""":4""",5/18/17 15:22,5/18/17 15:22
125,C'ÌÎå©tait Danemark,117,creation,104,73,9,9,"s:4:\[18]\;"""""":4""",5/18/17 15:22,5/18/17 15:22
128,INATTENTION !,120,creation,134,46,7,9,"s:4:\[15]\;"""""":4""",5/18/17 15:22,5/18/17 15:22
137,elle adore les rapes,129,creation,127,74,9,9,"s:4:\[17]\;"""""":4""",5/18/17 15:23,5/18/17 15:23
140,"Cette slide est elle vraiment nÌÎå©cessaire ? MÌÎåÈme question sur les autres slide \QUESTION 2\ \""QUESTION 3\"" \""QUESTION 4\"" ?""""""ette slide est elle vraiment nÌÎå©c""",132,creation,133,53,8,9,"s:4:\[18]\;"""""":4""",5/18/17 15:23,5/18/17 15:23
143,boulette,135,creation,134,46,7,9,"s:4:\[18]\;"""""":4""",5/18/17 15:24,5/18/17 15:24
144,"quelle bonne idÌÎå©e ingÌÎå©nieuse, c'est vraiment quelqu'un qui doit ÌÎåÈtre bon qui a eu cette idÌÎå©e",136,creation,153,75,9,9,"s:4:\[16]\;"""""":4""",5/18/17 15:24,5/18/17 15:24
148,Pourquoi?,140,creation,158,44,7,9,"s:4:\[16]\;"""""":4""",5/18/17 15:25,5/18/17 15:25
156,MAnque la concurrence,148,creation,163,46,7,9,"s:4:\[19]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
157,NULL,149,creation,153,75,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
159,Peut-etre ajouter a question ÌÎå©crite,151,creation,133,53,8,9,"s:4:\[20]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
161,pas trÌÎåÂs lisible,153,creation,168,48,7,9,"s:4:\[15]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
164,trooooop beau,156,creation,168,48,7,9,"s:4:\[16]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
165,NULL,157,creation,153,75,9,9,"s:4:\[18]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
166,Ya pas 2 n a Floriane,158,creation,127,74,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
167,NULL,159,creation,73,54,8,9,"s:4:\[19]\;"""""":4""",5/18/17 15:26,5/18/17 15:26
168,faudrait aller visiter les pays,160,creation,172,49,7,9,"s:4:\[20]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
169,Qui est cette personne?,161,creation,171,43,7,9,"s:4:\[16]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
170,Ok ÌÎå_a me va mais je suis actionnaire majoritaire,162,creation,124,75,9,9,"s:4:\[18]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
171,Economique ou ÌÎå©cologique,163,creation,95,52,8,9,"s:4:\[16]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
172,NULL,164,creation,127,74,9,9,"s:4:\[17]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
173,ah,165,creation,127,74,9,9,"s:4:\[16]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
176,mon universitÌÎå© prÌÎå©fÌÎå©rÌÎå©e !,168,creation,179,43,7,9,"s:4:\[19]\;"""""":4""",5/18/17 15:27,5/18/17 15:27
184,Non non celle de nos jours,176,creation,153,75,9,9,"s:4:\[17]\;"""""":4""",5/18/17 15:28,5/18/17 15:28
187,La visite fut sympathique vous trouvez pas?,179,creation,153,75,9,9,"s:4:\[16]\;"""""":4""",5/18/17 15:28,5/18/17 15:28
191,NULL,183,creation,95,52,8,9,"s:4:\[19]\;"""""":4""",5/18/17 15:28,5/18/17 15:28
195,splendide mÌÎåÈme,187,creation,203,43,7,9,"s:4:\[19]\;"""""":4""",5/18/17 15:29,5/18/17 15:29
198,J'adore,190,creation,179,43,7,9,"s:4:\[20]\;"""""":4""",5/18/17 15:29,5/18/17 15:29
200,"Diapo mal construite, trop d'espace vers le bas",192,creation,205,48,7,9,"s:4:\[15]\;"""""":4""",5/18/17 15:29,5/18/17 15:29
207,NULL,198,creation,127,74,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
208,trop bonne blague Lopez,199,creation,128,46,7,9,"s:4:\[19]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
209,NULL,200,creation,63,65,9,9,"s:4:\[17]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
213,Oui j'arrÌÎåÈte le low cost !,204,creation,104,73,9,9,"s:4:\[20]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
214,NULL,205,creation,127,74,9,9,"s:4:\[17]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
215,NULL,206,creation,127,74,9,9,"s:4:\[17]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
216,#portugais ? Coco ?,207,creation,201,69,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:30,5/18/17 15:30
217,NULL,208,creation,168,48,7,9,"s:4:\[17]\;"""""":4""",5/18/17 15:31,5/18/17 15:31
218,NULL,209,creation,230,59,8,9,"s:4:\[21]\;"""""":4""",5/18/17 15:31,5/18/17 15:31
224,"seul travail de Bondier , peut mieux faire !",215,creation,205,48,7,9,"s:4:\[20]\;"""""":4""",5/18/17 15:32,5/18/17 15:32
226,NULL,217,creation,233,75,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:33,5/18/17 15:33
228,Le critÌÎåÂre dÌÎå©terminant,219,creation,245,71,9,9,"s:4:\[19]\;"""""":4""",5/18/17 15:33,5/18/17 15:33
230,"Samuel , trÌÎåÂs trÌÎåÂs bon travail ! J'adore ! Continue comme ÌÎå_a ! Tu mÌÎå©rites tout ce qui t'arrives , ÌÎå_a y est je te dÌÎå©clare ma flemme et j'officie devant tout le monde bim comme ÌÎå_a j'ai pas peur",221,creation,238,50,7,9,"s:4:\[19]\;"""""":4""",5/18/17 15:33,5/18/17 15:33
239,Oui Madeline !,228,creation,116,60,8,9,"s:4:\[19]\;"""""":4""",5/18/17 15:34,5/18/17 15:34
247,NULL,236,creation,168,48,7,9,"s:4:\[17]\;"""""":4""",5/18/17 15:34,5/18/17 15:34
248,"Bonjour Julie, Je te remercie pour ton message trÌÎåÂs touchant. En espÌÎå©rant pouvoir te rencontrer et d'ÌÎå©changer sur le sujet en .. approfondie.. ;) Bien Cordialement ,",237,creation,238,50,7,9,"s:4:\[16]\;"""""":4""",5/18/17 15:34,5/18/17 15:34
260,NULL,248,creation,260,65,9,9,"s:4:\[15]\;"""""":4""",5/18/17 15:35,5/18/17 15:35
261,"Bien heureuse de vous lire aussi rapidement ! Je ne pensais pas vous stimuler autant , je pense que nous pourrions ÌÎåÈtre plus que des simples collaborateurs !ÌÎÌ_ trÌÎåÂs vite , bisous sur vous portez vous bien",249,creation,238,50,7,9,"s:4:\[17]\;"""""":4""",5/18/17 15:36,5/18/17 15:36
